ID1	ID2	MeSH Tree Number 1	MeSH Tree Number 2
D000006	D015746	C23.888.821.030.249	C23.888.821.030
D000006	D015746	C23.888.592.612.054.200	C23.888.592.612.054
D000007	D014947	C26.017	C26
D000008	D009371	C04.588.033	C04.588
D000012	D006995	C18.452.584.500.875.440.500	C18.452.584.500.875.440
D000012	D006995	C16.320.565.398.500.440.500	C16.320.565.398.500.440
D000012	D006995	C18.452.584.563.500.440.500	C18.452.584.563.500.440
D000012	D006995	C18.452.648.398.500.440.500	C18.452.648.398.500.440
D000013	D009358	C16.131	C16
D000014	D000013	C16.131.042	C16.131
D000015	D000013	C16.131.077	C16.131
D000016	D011832	C26.733.031	C26.733
D000016	D000013	C16.131.080	C16.131
D000022	D011248	C12.050.703.039	C12.050.703
D000026	D000022	C12.050.703.039.089	C12.050.703.039
D000027	D000022	C12.050.703.039.093	C12.050.703.039
D000030	D000022	C12.050.703.039.173	C12.050.703.039
D000031	D000022	C12.050.703.039.256	C12.050.703.039
D000031	D011251	C12.050.703.700.173	C12.050.703.700
D000031	D011251	C01.674.173	C01.674
D000033	D011248	C12.050.703.090	C12.050.703
D000034	D000820	C22.021	C22
D000034	D000022	C12.050.703.039.422	C12.050.703.039
D000037	D010922	C12.050.703.590.132	C12.050.703.590
D000037	D007744	C12.050.703.420.078	C12.050.703.420
D000038	D013492	C01.830.025	C01.830
D000038	D013492	C23.550.470.756.100	C23.550.470.756
D000039	D014069	C08.730.561.750.500	C08.730.561.750
D000039	D014069	C01.748.561.750.500	C01.748.561.750
D000039	D014069	C09.775.649.750.500	C09.775.649.750
D000039	D014069	C07.550.781.750.500	C07.550.781.750
D000039	D000038	C01.830.025.675	C01.830.025
D000051	D010335	C23.550.035	C23.550
D000051	D012872	C17.800.865.070	C17.800.865
D000052	D008548	C17.800.621.430.530.100	C17.800.621.430.530
D000067011	D044342	C18.654.521.719	C18.654.521
D000067208	D005512	C20.543.480.370.763	C20.543.480.370
D000067251	D012008	C23.550.291.937.500	C23.550.291.937
D000067329	D009765	C23.888.144.699.500.250	C23.888.144.699.500
D000067329	D009765	C18.654.726.750.500.650	C18.654.726.750.500
D000067390	D014947	C26.212	C26
D000067398	D014947	C26.946	C26
D000067490	D063487	C25.775.342.500.750	C25.775.342.500
D000067559	D007859	C23.888.592.604.150.550.700	C23.888.592.604.150.550
D000067559	D007859	C10.597.606.150.550.700	C10.597.606.150.550
D000067562	D020969	C23.550.291.883	C23.550.291
D000068376	D005222	C23.888.369.500.500	C23.888.369.500
D000069076	D009104	C26.640.500	C26.640
D000069076	D050723	C26.404.280	C26.404
D000069279	D004827	C10.228.140.490.125	C10.228.140.490
D000069281	D000072659	C19.700.419.500	C19.700.419
D000069281	D001327	C20.111.273	C20.111
D000069281	D000072659	C10.228.140.617.738.275.500	C10.228.140.617.738.275
D000069282	D003607	C11.496.221.500	C11.496.221
D000069290	D011183	C23.550.767.500	C23.550.767
D000069290	D006547	C23.300.707.945	C23.300.707
D000069293	D016403	C04.557.386.480.150.585.500	C04.557.386.480.150.585
D000069293	D016403	C20.683.515.761.480.150.585.500	C20.683.515.761.480.150.585
D000069293	D016403	C15.604.515.569.480.150.585.500	C15.604.515.569.480.150.585
D000069295	D002277	C04.557.470.200.588	C04.557.470.200
D000069316	D000152	C17.800.030.150.500	C17.800.030.150
D000069316	D000152	C17.800.794.111.500	C17.800.794.111
D000069337	D014564	C12.200.706.445	C12.200.706
D000069337	D014564	C16.131.939.445	C16.131.939
D000069337	D014564	C12.050.351.875.420	C12.050.351.875
D000069337	D014564	C12.800.445	C12.800
D000069451	D010335	C23.550.543	C23.550
D000069544	D002494	C10.228.228.399	C10.228.228
D000069544	D004660	C10.228.140.430.520	C10.228.140.430
D000069544	D004660	C10.586.250.520	C10.586.250
D000069544	D002494	C01.207.399	C01.207
D000069578	D007239	C01.936	C01
D000069584	D001943	C04.588.180.800	C04.588.180
D000069584	D001943	C17.800.090.500.682	C17.800.090.500
D000069836	D017695	C26.808.500	C26.808
D000069856	D007669	C12.050.351.968.967.500.503.500	C12.050.351.968.967.500.503
D000069856	D007669	C12.950.419.600.500.500	C12.950.419.600.500
D000069856	D007669	C12.200.777.967.249.500.500	C12.200.777.967.249.500
D000069856	D007669	C23.300.175.850.550.500	C23.300.175.850.550
D000069856	D007669	C12.050.351.968.419.600.500.500	C12.050.351.968.419.600.500
D000069856	D007669	C12.950.967.500.503.500	C12.950.967.500.503
D000069856	D007669	C12.200.777.419.600.500.500	C12.200.777.419.600.500
