ID1	ID2
MI0001519	MI0000071
MI0001519	MI0001518
MI0001519	MI0000095
MI0001519	MI0000734
MI0001519	MI0000072
MI0001519	MI0000113
MI0001519	MI0000076
MI0000071	MI0001518
MI0000071	MI0000095
MI0000071	MI0000734
MI0000071	MI0000072
MI0000071	MI0000113
MI0000071	MI0000076
MI0001518	MI0000095
MI0001518	MI0000734
MI0001518	MI0000072
MI0001518	MI0000113
MI0001518	MI0000076
MI0000095	MI0000734
MI0000095	MI0000072
MI0000095	MI0000113
MI0000095	MI0000076
MI0000734	MI0000072
MI0000734	MI0000113
MI0000734	MI0000076
MI0000072	MI0000113
MI0000072	MI0000076
MI0000113	MI0000076
MI0000068	MI0000067
MI0000068	MI0000066
MI0000068	MI0000064
MI0000068	MI0000434
MI0000068	MI0000061
MI0000068	MI0000062
MI0000068	MI0000433
MI0000068	MI0000060
MI0000068	MI0000065
MI0000068	MI0000100
MI0000068	MI0000063
MI0000067	MI0000066
MI0000067	MI0000064
MI0000067	MI0000434
MI0000067	MI0000061
MI0000067	MI0000062
MI0000067	MI0000433
MI0000067	MI0000060
MI0000067	MI0000065
MI0000067	MI0000100
MI0000067	MI0000063
MI0000066	MI0000064
MI0000066	MI0000434
MI0000066	MI0000061
MI0000066	MI0000062
MI0000066	MI0000433
MI0000066	MI0000060
MI0000066	MI0000065
MI0000066	MI0000100
MI0000066	MI0000063
MI0000064	MI0000434
MI0000064	MI0000061
MI0000064	MI0000062
MI0000064	MI0000433
MI0000064	MI0000060
MI0000064	MI0000065
MI0000064	MI0000100
MI0000064	MI0000063
MI0000434	MI0000061
MI0000434	MI0000062
MI0000434	MI0000433
MI0000434	MI0000060
MI0000434	MI0000065
MI0000434	MI0000100
MI0000434	MI0000063
MI0000061	MI0000062
MI0000061	MI0000433
MI0000061	MI0000060
MI0000061	MI0000065
MI0000061	MI0000100
MI0000061	MI0000063
MI0000062	MI0000433
MI0000062	MI0000060
MI0000062	MI0000065
MI0000062	MI0000100
MI0000062	MI0000063
MI0000433	MI0000060
MI0000433	MI0000065
MI0000433	MI0000100
MI0000433	MI0000063
MI0000060	MI0000065
MI0000060	MI0000100
MI0000060	MI0000063
MI0000065	MI0000100
MI0000065	MI0000063
MI0000100	MI0000063
MI0000749	MI0000441
MI0000749	MI0000736
MI0000749	MI0000255
MI0000749	MI0000254
MI0000749	MI0000088
MI0000441	MI0000736
MI0000441	MI0000255
MI0000441	MI0000254
MI0000441	MI0000088
MI0000736	MI0000255
MI0000736	MI0000254
MI0000736	MI0000088
MI0000255	MI0000254
MI0000255	MI0000088
MI0000254	MI0000088
MI0000489	MI0000115
MI0000489	MI0000438
MI0000489	MI0000069
MI0000489	MI0000070
MI0000115	MI0000438
MI0000115	MI0000069
MI0000115	MI0000070
MI0000438	MI0000069
MI0000438	MI0000070
MI0000069	MI0000070
MI0000270	MI0000289
MI0000270	MI0000271
MI0000270	MI0000269
MI0000270	MI0000683
MI0000270	MI0003139
MI0000289	MI0000271
MI0000289	MI0000269
MI0000289	MI0000683
MI0000289	MI0003139
MI0000271	MI0000269
MI0000271	MI0000683
MI0000271	MI0003139
MI0000269	MI0000683
MI0000269	MI0003139
MI0000683	MI0003139
MI0000107	MI0000735
MI0000107	MI0000087
MI0000107	MI0000105
MI0000735	MI0000087
MI0000735	MI0000105
MI0000087	MI0000105
MI0000073	MI0000075
MI0000073	MI0000074
MI0000075	MI0000074
MI0000093	MI0000082
MI0000093	MI0003560
MI0000093	MI0000094
MI0000082	MI0003560
MI0000082	MI0000094
MI0003560	MI0000094
MI0000466	MI0000467
MI0000466	MI0000468
MI0000467	MI0000468
MI0005525	MI0000790
MI0005525	MI0003136
MI0005525	MI0003821
MI0005525	MI0000480
MI0005525	MI0000789
MI0005525	MI0003677
MI0005525	MI0003530
MI0005525	MI0001735
MI0005525	MI0000777
MI0005525	MI0003514
MI0005525	MI0003134
MI0005525	MI0003678
MI0005525	MI0000785
MI0005525	MI0002471
MI0005525	MI0003844
MI0005525	MI0014206
MI0005525	MI0002465
MI0005525	MI0000807
MI0000790	MI0003136
MI0000790	MI0003821
MI0000790	MI0000480
