ID	Symbol	Name	Gene Groups
1	A1BG	alpha-1-B glycoprotein	Immunoglobulin like domain containing
29974	A1CF	APOBEC1 complementation factor	RNA binding motif containing
2	A2M	alpha-2-macroglobulin	Alpha-2-macroglobulin family
144568	A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin family
127550	A3GALT2	alpha 1,3-galactosyltransferase 2	Glycosyltransferase family 6
53947	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	Blood group antigens, Alpha 1,4-glycosyltransferases
51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Alpha 1,4-glycosyltransferases
8086	AAAS	aladin WD repeat nucleoporin	WD repeat domain containing, Nucleoporins
65985	AACS	acetoacetyl-CoA synthetase	Acyl-CoA synthetase family
13	AADAC	arylacetamide deacetylase	Arylacetamide deacetylase family, Lipases
344752	AADACL2	arylacetamide deacetylase like 2	Arylacetamide deacetylase family
126767	AADACL3	arylacetamide deacetylase like 3	Arylacetamide deacetylase family
343066	AADACL4	arylacetamide deacetylase like 4	Arylacetamide deacetylase family
51166	AADAT	aminoadipate aminotransferase	
79719	AAGAB	alpha and gamma adaptin binding protein	
22848	AAK1	AP2 associated kinase 1	Small nucleolar RNA protein coding host genes
28971	AAMDC	adipogenesis associated Mth938 domain containing	
14	AAMP	angio associated migratory cell protein	WD repeat domain containing
15	AANAT	aralkylamine N-acetyltransferase	GCN5 related N-acetyltransferases
25980	AAR2	AAR2 splicing factor	
441376	AARD	alanine and arginine rich domain containing protein	
16	AARS1	alanyl-tRNA synthetase 1	Aminoacyl tRNA synthetases, Class II
57505	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Aminoacyl tRNA synthetases, Class II
80755	AARSD1	alanyl-tRNA synthetase domain containing 1	
132949	AASDH	aminoadipate-semialdehyde dehydrogenase	Acyl-CoA synthetase family
60496	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	
10157	AASS	aminoadipate-semialdehyde synthase	
26574	AATF	apoptosis antagonizing transcription factor	MicroRNA protein coding host genes
9625	AATK	apoptosis associated tyrosine kinase	Protein phosphatase 1 regulatory subunits, MicroRNA protein coding host genes, Receptor tyrosine kinases
18	ABAT	4-aminobutyrate aminotransferase	
19	ABCA1	ATP binding cassette subfamily A member 1	ATP binding cassette subfamily A
20	ABCA2	ATP binding cassette subfamily A member 2	ATP binding cassette subfamily A
21	ABCA3	ATP binding cassette subfamily A member 3	ATP binding cassette subfamily A
24	ABCA4	ATP binding cassette subfamily A member 4	ATP binding cassette subfamily A
23461	ABCA5	ATP binding cassette subfamily A member 5	ATP binding cassette subfamily A
23460	ABCA6	ATP binding cassette subfamily A member 6	ATP binding cassette subfamily A, MicroRNA protein coding host genes
10347	ABCA7	ATP binding cassette subfamily A member 7	ATP binding cassette subfamily A
10351	ABCA8	ATP binding cassette subfamily A member 8	ATP binding cassette subfamily A
10350	ABCA9	ATP binding cassette subfamily A member 9	ATP binding cassette subfamily A
10349	ABCA10	ATP binding cassette subfamily A member 10	ATP binding cassette subfamily A
26154	ABCA12	ATP binding cassette subfamily A member 12	ATP binding cassette subfamily A
154664	ABCA13	ATP binding cassette subfamily A member 13	ATP binding cassette subfamily A
5243	ABCB1	ATP binding cassette subfamily B member 1	ATP binding cassette subfamily B, CD molecules
5244	ABCB4	ATP binding cassette subfamily B member 4	ATP binding cassette subfamily B
340273	ABCB5	ATP binding cassette subfamily B member 5	ATP binding cassette subfamily B
10058	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	Blood group antigens, ATP binding cassette subfamily B
22	ABCB7	ATP binding cassette subfamily B member 7	ATP binding cassette subfamily B
11194	ABCB8	ATP binding cassette subfamily B member 8	ATP binding cassette subfamily B
23457	ABCB9	ATP binding cassette subfamily B member 9	ATP binding cassette subfamily B
23456	ABCB10	ATP binding cassette subfamily B member 10	ATP binding cassette subfamily B
8647	ABCB11	ATP binding cassette subfamily B member 11	ATP binding cassette subfamily B
4363	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	Blood group antigens, ATP binding cassette subfamily C
1244	ABCC2	ATP binding cassette subfamily C member 2	ATP binding cassette subfamily C
8714	ABCC3	ATP binding cassette subfamily C member 3	ATP binding cassette subfamily C
10257	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	Blood group antigens, ATP binding cassette subfamily C
10057	ABCC5	ATP binding cassette subfamily C member 5	ATP binding cassette subfamily C
368	ABCC6	ATP binding cassette subfamily C member 6	ATP binding cassette subfamily C
6833	ABCC8	ATP binding cassette subfamily C member 8	ATP binding cassette subfamily C
10060	ABCC9	ATP binding cassette subfamily C member 9	ATP binding cassette subfamily C
89845	ABCC10	ATP binding cassette subfamily C member 10	MicroRNA protein coding host genes, ATP binding cassette subfamily C
85320	ABCC11	ATP binding cassette subfamily C member 11	ATP binding cassette subfamily C
94160	ABCC12	ATP binding cassette subfamily C member 12	ATP binding cassette subfamily C
215	ABCD1	ATP binding cassette subfamily D member 1	ATP binding cassette subfamily D
225	ABCD2	ATP binding cassette subfamily D member 2	ATP binding cassette subfamily D
5825	ABCD3	ATP binding cassette subfamily D member 3	GOLD domain containing, ATP binding cassette subfamily D
5826	ABCD4	ATP binding cassette subfamily D member 4	ATP binding cassette subfamily D
6059	ABCE1	ATP binding cassette subfamily E member 1	ATP binding cassette subfamily E
23	ABCF1	ATP binding cassette subfamily F member 1	ATP binding cassette subfamily F, MicroRNA protein coding host genes
10061	ABCF2	ATP binding cassette subfamily F member 2	ATP binding cassette subfamily F
55324	ABCF3	ATP binding cassette subfamily F member 3	ATP binding cassette subfamily F
9619	ABCG1	ATP binding cassette subfamily G member 1	ATP binding cassette subfamily G
9429	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	ATP binding cassette subfamily G, Blood group antigens, CD molecules
64137	ABCG4	ATP binding cassette subfamily G member 4	ATP binding cassette subfamily G
64240	ABCG5	ATP binding cassette subfamily G member 5	ATP binding cassette subfamily G
64241	ABCG8	ATP binding cassette subfamily G member 8	ATP binding cassette subfamily G
84696	ABHD1	abhydrolase domain containing 1	Abhydrolase domain containing
11057	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	Abhydrolase domain containing
171586	ABHD3	abhydrolase domain containing 3, phospholipase	Abhydrolase domain containing
63874	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	Abhydrolase domain containing
51099	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	Abhydrolase domain containing
57406	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	Abhydrolase domain containing
79575	ABHD8	abhydrolase domain containing 8	Abhydrolase domain containing
55347	ABHD10	abhydrolase domain containing 10, depalmitoylase	Abhydrolase domain containing
83451	ABHD11	abhydrolase domain containing 11	Abhydrolase domain containing
26090	ABHD12	abhydrolase domain containing 12, lysophospholipase	Abhydrolase domain containing
145447	ABHD12B	abhydrolase domain containing 12B	Abhydrolase domain containing
84945	ABHD13	abhydrolase domain containing 13	Abhydrolase domain containing
25864	ABHD14A	abhydrolase domain containing 14A	Abhydrolase domain containing
84836	ABHD14B	abhydrolase domain containing 14B	Abhydrolase domain containing
116236	ABHD15	abhydrolase domain containing 15	Abhydrolase domain containing
7920	ABHD16A	abhydrolase domain containing 16A, phospholipase	MicroRNA protein coding host genes, Abhydrolase domain containing
140701	ABHD16B	abhydrolase domain containing 16B	Abhydrolase domain containing
81926	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	Depalmitoylases, Abhydrolase domain containing
51104	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Depalmitoylases, Abhydrolase domain containing
58489	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	Depalmitoylases, Abhydrolase domain containing
80167	ABHD18	abhydrolase domain containing 18	Abhydrolase domain containing
10006	ABI1	abl interactor 1	
10152	ABI2	abl interactor 2	SCAR/WAVE complex
51225	ABI3	ABI family member 3	
25890	ABI3BP	ABI family member 3 binding protein	Fibronectin type III domain containing
54942	ABITRAM	actin binding transcription modulator	
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Abl family tyrosine kinases, SH2 domain containing
27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Abl family tyrosine kinases, SH2 domain containing
3983	ABLIM1	actin binding LIM protein 1	LIM domain containing
84448	ABLIM2	actin binding LIM protein family member 2	LIM domain containing, MicroRNA protein coding host genes
22885	ABLIM3	actin binding LIM protein family member 3	LIM domain containing
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Blood group antigens, Glycosyltransferase family 6
29	ABR	ABR activator of RhoGEF and GTPase	Pleckstrin homology domain containing, MicroRNA protein coding host genes, C2 domain containing, Dbl family Rho GEFs
137735	ABRA	actin binding Rho activating protein	
58527	ABRACL	ABRA C-terminal like	
84142	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	BRCA1 A complex
23172	ABRAXAS2	abraxas 2, BRISC complex subunit	BRISC complex
29777	ABT1	activator of basal transcription 1	SSU processome
80325	ABTB1	ankyrin repeat and BTB domain containing 1	BTB domain containing, Ankyrin repeat domain containing
25841	ABTB2	ankyrin repeat and BTB domain containing 2	BTB domain containing, Ankyrin repeat domain containing
121551	ABTB3	ankyrin repeat and BTB domain containing 3	BTB domain containing, Ankyrin repeat domain containing
30	ACAA1	acetyl-CoA acyltransferase 1	
10449	ACAA2	acetyl-CoA acyltransferase 2	
31	ACACA	acetyl-CoA carboxylase alpha	
32	ACACB	acetyl-CoA carboxylase beta	
27034	ACAD8	acyl-CoA dehydrogenase family member 8	Flavoproteins, Acyl-CoA dehydrogenase family
28976	ACAD9	acyl-CoA dehydrogenase family member 9	Flavoproteins, Acyl-CoA dehydrogenase family, Mitochondrial complex I assembly complex
80724	ACAD10	acyl-CoA dehydrogenase family member 10	Flavoproteins, Acyl-CoA dehydrogenase family
84129	ACAD11	acyl-CoA dehydrogenase family member 11	Flavoproteins, Acyl-CoA dehydrogenase family
33	ACADL	acyl-CoA dehydrogenase long chain	Flavoproteins, Acyl-CoA dehydrogenase family
34	ACADM	acyl-CoA dehydrogenase medium chain	Flavoproteins, Acyl-CoA dehydrogenase family
35	ACADS	acyl-CoA dehydrogenase short chain	Flavoproteins, Acyl-CoA dehydrogenase family
36	ACADSB	acyl-CoA dehydrogenase short/branched chain	Flavoproteins, Acyl-CoA dehydrogenase family
37	ACADVL	acyl-CoA dehydrogenase very long chain	Flavoproteins, Acyl-CoA dehydrogenase family
176	ACAN	aggrecan	Hyalectan proteoglycans, Sushi domain containing, C-type lectin domain containing, V-set domain containing
9744	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ArfGAPs, Ankyrin repeat domain containing, BAR-PH domain containing
23527	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ArfGAPs, Ankyrin repeat domain containing, BAR-PH domain containing
116983	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ArfGAPs, MicroRNA protein coding host genes, Ankyrin repeat domain containing, BAR-PH domain containing
38	ACAT1	acetyl-CoA acetyltransferase 1	
39	ACAT2	acetyl-CoA acetyltransferase 2	
64746	ACBD3	acyl-CoA binding domain containing 3	A-kinase anchoring proteins
79777	ACBD4	acyl-CoA binding domain containing 4	
91452	ACBD5	acyl-CoA binding domain containing 5	
84320	ACBD6	acyl-CoA binding domain containing 6	MicroRNA protein coding host genes, Ankyrin repeat domain containing
414149	ACBD7	acyl-CoA binding domain containing 7	
84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	
390110	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	
65057	ACD	ACD shelterin complex subunit and telomerase recruitment factor	Shelterin complex
1636	ACE	angiotensin I converting enzyme	CD molecules
59272	ACE2	angiotensin converting enzyme 2	
125981	ACER1	alkaline ceramidase 1	Alkaline ceramidases
340485	ACER2	alkaline ceramidase 2	Alkaline ceramidases
55331	ACER3	alkaline ceramidase 3	Alkaline ceramidases
43	ACHE	acetylcholinesterase (Yt blood group)	Blood group antigens
22985	ACIN1	apoptotic chromatin condensation inducer 1	ASAP complex
2532	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Blood group antigens, Atypical chemokine receptors, CD molecules
1238	ACKR2	atypical chemokine receptor 2	Atypical chemokine receptors
57007	ACKR3	atypical chemokine receptor 3	Atypical chemokine receptors
51554	ACKR4	atypical chemokine receptor 4	Atypical chemokine receptors
47	ACLY	ATP citrate lyase	
130013	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	MicroRNA protein coding host genes
48	ACO1	aconitase 1	
50	ACO2	aconitase 2	
730249	ACOD1	aconitate decarboxylase 1	
641371	ACOT1	acyl-CoA thioesterase 1	Acyl-CoA thioesterases
10965	ACOT2	acyl-CoA thioesterase 2	Acyl-CoA thioesterases
122970	ACOT4	acyl-CoA thioesterase 4	Acyl-CoA thioesterases
641372	ACOT6	acyl-CoA thioesterase 6	Acyl-CoA thioesterases
11332	ACOT7	acyl-CoA thioesterase 7	Acyl-CoA thioesterases
10005	ACOT8	acyl-CoA thioesterase 8	Acyl-CoA thioesterases
23597	ACOT9	acyl-CoA thioesterase 9	Acyl-CoA thioesterases
26027	ACOT11	acyl-CoA thioesterase 11	Acyl-CoA thioesterases, StAR related lipid transfer domain containing
134526	ACOT12	acyl-CoA thioesterase 12	Acyl-CoA thioesterases, StAR related lipid transfer domain containing
55856	ACOT13	acyl-CoA thioesterase 13	Acyl-CoA thioesterases
51	ACOX1	acyl-CoA oxidase 1	Flavoproteins
8309	ACOX2	acyl-CoA oxidase 2	Flavoproteins
8310	ACOX3	acyl-CoA oxidase 3, pristanoyl	Flavoproteins
55289	ACOXL	acyl-CoA oxidase like	Flavoproteins
52	ACP1	acid phosphatase 1	Acid phosphatases, Class II Cys-based phosphatases
53	ACP2	acid phosphatase 2, lysosomal	Acid phosphatases
55	ACP3	acid phosphatase 3	Acid phosphatases
93650	ACP4	acid phosphatase 4	Acid phosphatases
54	ACP5	acid phosphatase 5, tartrate resistant	Acid phosphatases
51205	ACP6	acid phosphatase 6, lysophosphatidic	Acid phosphatases
390928	ACP7	acid phosphatase 7, tartrate resistant (putative)	Acid phosphatases
49	ACR	acrosin	
84519	ACRBP	acrosin binding protein	Armadillo like helical domain containing
56	ACRV1	acrosomal vesicle protein 1	
23205	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Acyl-CoA synthetase family
81616	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Acyl-CoA synthetase family
80221	ACSF2	acyl-CoA synthetase family member 2	Acyl-CoA synthetase family
197322	ACSF3	acyl-CoA synthetase family member 3	Acyl-CoA synthetase family
2180	ACSL1	acyl-CoA synthetase long chain family member 1	Acyl-CoA synthetase family
2181	ACSL3	acyl-CoA synthetase long chain family member 3	Acyl-CoA synthetase family
2182	ACSL4	acyl-CoA synthetase long chain family member 4	Acyl-CoA synthetase family
51703	ACSL5	acyl-CoA synthetase long chain family member 5	Acyl-CoA synthetase family
23305	ACSL6	acyl-CoA synthetase long chain family member 6	Acyl-CoA synthetase family
116285	ACSM1	acyl-CoA synthetase medium chain family member 1	Acyl-CoA synthetase family
123876	ACSM2A	acyl-CoA synthetase medium chain family member 2A	Acyl-CoA synthetase family
348158	ACSM2B	acyl-CoA synthetase medium chain family member 2B	Acyl-CoA synthetase family
6296	ACSM3	acyl-CoA synthetase medium chain family member 3	Acyl-CoA synthetase family
341392	ACSM4	acyl-CoA synthetase medium chain family member 4	Acyl-CoA synthetase family
54988	ACSM5	acyl-CoA synthetase medium chain family member 5	Acyl-CoA synthetase family
142827	ACSM6	acyl-CoA synthetase medium chain family member 6	Acyl-CoA synthetase family
84532	ACSS1	acyl-CoA synthetase short chain family member 1	Acyl-CoA synthetase family
55902	ACSS2	acyl-CoA synthetase short chain family member 2	Acyl-CoA synthetase family
79611	ACSS3	acyl-CoA synthetase short chain family member 3	MicroRNA protein coding host genes, Acyl-CoA synthetase family
58	ACTA1	actin alpha 1, skeletal muscle	Actins
59	ACTA2	actin alpha 2, smooth muscle	Actins
60	ACTB	actin beta	GBAF complex, PBAF complex, Actins, BAF complex
345651	ACTBL2	actin beta like 2	Actins
70	ACTC1	actin alpha cardiac muscle 1	Actins
71	ACTG1	actin gamma 1	Actins
72	ACTG2	actin gamma 2, smooth muscle	Actins
86	ACTL6A	actin like 6A	INO80 complex , Actin related proteins, BAF complex, PBAF complex, Tip60/Nua4 histone acetyltransferase complex subunits, SRCAP complex, GBAF complex
51412	ACTL6B	actin like 6B	PBAF complex, GBAF complex, Actin related proteins, BAF complex
10881	ACTL7A	actin like 7A	Actin related proteins
10880	ACTL7B	actin like 7B	Actin related proteins
81569	ACTL8	actin like 8	Actin related proteins
284382	ACTL9	actin like 9	Actin related proteins
170487	ACTL10	actin like 10	Actin related proteins
284325	ACTMAP	actin maturation protease	
87	ACTN1	actinin alpha 1	Actinins
88	ACTN2	actinin alpha 2	Actinins
89	ACTN3	actinin alpha 3	Actinins
81	ACTN4	actinin alpha 4	Actinins
10121	ACTR1A	actin related protein 1A	Dynactin subunits, Actin related proteins
10120	ACTR1B	actin related protein 1B	Actin related proteins
10097	ACTR2	actin related protein 2	Actin related protein 2/3 complex subunits, Actin related proteins
10096	ACTR3	actin related protein 3	Actin related protein 2/3 complex subunits, Actin related proteins
57180	ACTR3B	actin related protein 3B	Actin related proteins
653857	ACTR3C	actin related protein 3C	Actin related proteins
79913	ACTR5	actin related protein 5	INO80 complex , Actin related proteins
64431	ACTR6	actin related protein 6	SRCAP complex, Actin related proteins
93973	ACTR8	actin related protein 8	INO80 complex , Actin related proteins
55860	ACTR10	actin related protein 10	Dynactin subunits, Actin related proteins
139741	ACTRT1	actin related protein T1	Actin related proteins
140625	ACTRT2	actin related protein T2	Actin related proteins
84517	ACTRT3	actin related protein T3	Actin related proteins
90	ACVR1	activin A receptor type 1	Type 1 receptor serine/threonine kinases
91	ACVR1B	activin A receptor type 1B	Type 1 receptor serine/threonine kinases
130399	ACVR1C	activin A receptor type 1C	Type 1 receptor serine/threonine kinases
92	ACVR2A	activin A receptor type 2A	Type 2 receptor serine/threonine kinases
93	ACVR2B	activin A receptor type 2B	Type 2 receptor serine/threonine kinases
94	ACVRL1	activin A receptor like type 1	Type 1 receptor serine/threonine kinases
95	ACY1	aminoacylase 1	M20 metallopeptidases
91703	ACY3	aminoacylase 3	
97	ACYP1	acylphosphatase 1	
98	ACYP2	acylphosphatase 2	
100	ADA	adenosine deaminase	Adenosine deaminase family
51816	ADA2	adenosine deaminase 2	Adenosine deaminase family
132612	ADAD1	adenosine deaminase domain containing 1	Adenosine deaminases acting on RNA
161931	ADAD2	adenosine deaminase domain containing 2	Adenosine deaminases acting on RNA
161823	ADAL	adenosine deaminase like	Adenosine deaminase family
